     [00]part_tag         [01]time         [02]posx         [03]posy         [04]posz         [05]velx         [06]vely         [07]velz       [08]accelx       [09]accely       [10]accelz        [11]anglx        [12]angly        [13]anglz         [14]mass         [15]mdot        [16]ptime
            65540  3.846318013E+13 -7.524906337E+18  9.539335853E+18 -4.797709480E+17 -2.224305616E+04  3.241521997E+04  3.501662085E+04  0.000000000E+00  0.000000000E+00  0.000000000E+00 -8.260759779E+50  7.909660986E+50  3.319228864E+50  4.839903049E+32  2.392439506E+22  3.846318013E+13
            65540  3.850380870E+13 -7.558668475E+18  9.550766230E+18 -4.680401600E+17 -2.130450368E+04  3.202415188E+04  3.467118378E+04 -8.830913441E-10  2.365203808E-10  1.199093955E-09 -4.141862085E+50 -7.083528478E+49  7.849636881E+50  3.551885256E+32  6.982552661E+21  3.846318013E+13
            65540  3.852408561E+13 -7.558963259E+18  9.551364303E+18 -4.673308639E+17 -2.120503775E+04  3.194904416E+04  3.463877700E+04  5.140953967E-09 -3.834205416E-09 -1.526725844E-09 -4.143356896E+50 -5.974127634E+49  7.993152464E+50  3.582200323E+32  1.495053517E+20  3.846318013E+13
            65540  3.856474230E+13 -7.558828854E+18  9.552128411E+18 -4.663429946E+17 -2.129792081E+04  3.206870713E+04  3.460220725E+04 -1.007077771E-09  1.355148213E-09 -8.512607014E-10 -4.550920535E+50 -5.796400654E+49  8.623857706E+50  1.253216288E+32  2.089167937E+20  3.846318013E+13
            65540  3.858504695E+13 -7.558639893E+18  9.552357808E+18 -4.660434632E+17 -2.120942555E+04  3.201898038E+04  3.460290622E+04  4.946167597E-09 -3.618646600E-09 -1.527951314E-09 -5.048605658E+50 -7.048722463E+49  9.274795710E+50  1.314171294E+32  3.002022464E+20  3.846318013E+13
            65540  3.862575687E+13 -7.558224071E+18  9.552757112E+18 -4.656049484E+17 -2.131389664E+04  3.221256614E+04  3.462399462E+04 -9.453288639E-10  1.383739449E-09 -8.185013019E-10 -6.782746672E+50 -1.534556060E+50  1.130904210E+51  1.452306368E+32  3.393155458E+20  3.846318013E+13
            65540  3.864603853E+13 -7.557947039E+18  9.552905587E+18 -4.654272288E+17 -2.122917691E+04  3.218405735E+04  3.466234380E+04  4.604134274E-09 -3.185718699E-09 -1.245590558E-09 -7.888206731E+50 -1.983803728E+50  1.269395603E+51  1.534598549E+32  4.057467932E+20  3.846318013E+13
            65540  3.868686574E+13 -7.557442497E+18  9.553168287E+18 -4.651424011E+17 -2.132029926E+04  3.241384075E+04  3.476388845E+04 -8.982212700E-10  1.443298727E-09 -7.194557448E-10 -1.115913704E+51 -3.660627776E+50  1.661218076E+51  1.714778618E+32  4.413234151E+20  3.846318013E+13
            65540  3.870720346E+13 -7.557173299E+18  9.553292278E+18 -4.649852540E+17 -2.123862574E+04  3.240851460E+04  3.483972206E+04  4.223798183E-09 -2.669928943E-09 -8.639843483E-10 -1.307726159E+51 -4.397024000E+50  1.900973724E+51  1.816919279E+32  5.022229390E+20  3.846318013E+13
            65540  3.874812642E+13 -7.556728700E+18  9.553563307E+18 -4.647083678E+17 -2.131802248E+04  3.266944957E+04  3.501498080E+04 -8.570853579E-10  1.517483828E-09 -6.025747392E-10 -1.832989337E+51 -6.774011256E+50  2.519221989E+51  2.034371627E+32  5.313700322E+20  3.846318013E+13
            65540  3.876852947E+13 -7.556524921E+18  9.553737818E+18 -4.645406595E+17 -2.124003267E+04  3.268085830E+04  3.512681089E+04  3.853955860E-09 -2.123855190E-09 -4.480609811E-10 -2.127350172E+51 -7.777512166E+50  2.865671065E+51  2.152120184E+32  5.771124467E+20  3.846318013E+13
            65540  3.880933019E+13 -7.556215161E+18  9.554110746E+18 -4.642226616E+17 -2.131044489E+04  3.296057575E+04  3.536462189E+04 -8.145139203E-10  1.597685762E-09 -4.871074696E-10 -2.872760520E+51 -1.066974274E+51  3.713112496E+51  2.395879340E+32  5.974383377E+20  3.846318013E+13
            65540  3.882976767E+13 -7.556092350E+18  9.554338380E+18 -4.640087297E+17 -2.123643180E+04  3.298698691E+04  3.550335811E+04  3.523459775E-09 -1.599165974E-09 -1.643058847E-11 -3.269967944E+51 -1.172990249E+51  4.172824290E+51  2.524416826E+32  6.289301264E+20  3.846318013E+13
            65540  3.887053137E+13 -7.555930506E+18  9.554824497E+18 -4.635681814E+17 -2.130001703E+04  3.328106983E+04  3.577554957E+04 -7.656871146E-10  1.682541798E-09 -3.806418589E-10 -4.230006160E+51 -1.445545114E+51  5.246790141E+51  2.786116429E+32  6.419918352E+20  3.846318013E+13
            65540  3.889086976E+13 -7.555878166E+18  9.555105122E+18 -4.632928995E+17 -2.123121988E+04  3.331925057E+04  3.592998191E+04  3.236253479E-09 -1.098881035E-09  3.929943187E-10 -4.730848379E+51 -1.524971220E+51  5.815070015E+51  2.921993403E+32  6.680811496E+20  3.846318013E+13
